,tickers,sectors
0,MMM,Industrials
1,ABT,Health Care
2,ABBV,Health Care
3,ACN,Information Technology
4,ATVI,Information Technology
5,AYI,Industrials
6,ADBE,Information Technology
7,AAP,Consumer Discretionary
8,AES,Utilities
9,AET,Health Care
10,AMG,Financials
11,AFL,Financials
12,A,Health Care
13,APD,Materials
14,AKAM,Information Technology
15,ALK,Industrials
16,ALB,Materials
17,AGN,Health Care
18,LNT,Utilities
19,ALXN,Health Care
20,ALLE,Industrials
21,ADS,Information Technology
22,ALL,Financials
23,GOOGL,Information Technology
24,GOOG,Information Technology
25,MO,Consumer Staples
26,AMZN,Consumer Discretionary
27,AEE,Utilities
28,AAL,Industrials
29,AEP,Utilities
30,AXP,Financials
31,AIG,Financials
32,AMT,Real Estate
33,AWK,Utilities
34,AMP,Financials
35,ABC,Health Care
36,AME,Industrials
37,AMGN,Health Care
38,APH,Information Technology
39,APC,Energy
40,ADI,Information Technology
41,ANTM,Health Care
42,AON,Financials
43,APA,Energy
44,AIV,Real Estate
45,AAPL,Information Technology
46,AMAT,Information Technology
47,ADM,Consumer Staples
48,ARNC,Industrials
49,AJG,Financials
50,AIZ,Financials
51,T,Telecommunications Services
52,ADSK,Information Technology
53,ADP,Information Technology
54,AN,Consumer Discretionary
55,AZO,Consumer Discretionary
56,AVB,Real Estate
57,AVY,Materials
58,BHI,Energy
59,BLL,Materials
60,BAC,Financials
61,BK,Financials
62,BCR,Health Care
63,BAX,Health Care
64,BBT,Financials
65,BDX,Health Care
66,BBBY,Consumer Discretionary
67,BRK-B,Financials
68,BBY,Consumer Discretionary
69,BIIB,Health Care
70,BLK,Financials
71,HRB,Financials
72,BA,Industrials
73,BWA,Consumer Discretionary
74,BXP,Real Estate
75,BSX,Health Care
76,BMY,Health Care
77,AVGO,Information Technology
78,BF-B,Consumer Staples
79,CHRW,Industrials
80,CA,Information Technology
81,COG,Energy
82,CPB,Consumer Staples
83,COF,Financials
84,CAH,Health Care
85,CBOE,Financials
86,HSIC,Health Care
87,KMX,Consumer Discretionary
88,CCL,Consumer Discretionary
89,CAT,Industrials
90,CBG,Real Estate
91,CBS,Consumer Discretionary
92,CELG,Health Care
93,CNC,Health Care
94,CNP,Utilities
95,CTL,Telecommunications Services
96,CERN,Health Care
97,CF,Materials
98,SCHW,Financials
99,CHTR,Consumer Discretionary
100,CHK,Energy
101,CVX,Energy
102,CMG,Consumer Discretionary
103,CB,Financials
104,CHD,Consumer Staples
105,CI,Health Care
106,XEC,Energy
107,CINF,Financials
108,CTAS,Industrials
109,CSCO,Information Technology
110,C,Financials
111,CFG,Financials
112,CTXS,Information Technology
113,CLX,Consumer Staples
114,CME,Financials
115,CMS,Utilities
116,COH,Consumer Discretionary
117,KO,Consumer Staples
118,CTSH,Information Technology
119,CL,Consumer Staples
120,CMCSA,Consumer Discretionary
121,CMA,Financials
122,CAG,Consumer Staples
123,CXO,Energy
124,COP,Energy
125,ED,Utilities
126,STZ,Consumer Staples
127,GLW,Information Technology
128,COST,Consumer Staples
129,COTY,Consumer Staples
130,CCI,Real Estate
131,CSRA,Information Technology
132,CSX,Industrials
133,CMI,Industrials
134,CVS,Consumer Staples
135,DHI,Consumer Discretionary
136,DHR,Health Care
137,DRI,Consumer Discretionary
138,DVA,Health Care
139,DE,Industrials
140,DLPH,Consumer Discretionary
141,DAL,Industrials
142,XRAY,Health Care
143,DVN,Energy
144,DLR,Real Estate
145,DFS,Financials
146,DISCA,Consumer Discretionary
147,DISCK,Consumer Discretionary
148,DG,Consumer Discretionary
149,DLTR,Consumer Discretionary
150,D,Utilities
151,DOV,Industrials
152,DOW,Materials
153,DPS,Consumer Staples
154,DTE,Utilities
155,DD,Materials
156,DUK,Utilities
157,DNB,Industrials
158,ETFC,Financials
159,EMN,Materials
160,ETN,Industrials
161,EBAY,Information Technology
162,ECL,Materials
163,EIX,Utilities
164,EW,Health Care
165,EA,Information Technology
166,EMR,Industrials
167,ETR,Utilities
168,EVHC,Health Care
169,EOG,Energy
170,EQT,Energy
171,EFX,Industrials
172,EQIX,Real Estate
173,EQR,Real Estate
174,ESS,Real Estate
175,EL,Consumer Staples
176,ES,Utilities
177,EXC,Utilities
178,EXPE,Consumer Discretionary
179,EXPD,Industrials
180,ESRX,Health Care
181,EXR,Real Estate
182,XOM,Energy
183,FFIV,Information Technology
184,FB,Information Technology
185,FAST,Industrials
186,FRT,Real Estate
187,FDX,Industrials
188,FIS,Information Technology
189,FITB,Financials
190,FSLR,Information Technology
191,FE,Utilities
192,FISV,Information Technology
193,FLIR,Information Technology
194,FLS,Industrials
195,FLR,Industrials
196,FMC,Materials
197,FTI,Energy
198,FL,Consumer Discretionary
199,F,Consumer Discretionary
200,FTV,Industrials
201,FBHS,Industrials
202,BEN,Financials
203,FCX,Materials
204,FTR,Telecommunications Services
205,GPS,Consumer Discretionary
206,GRMN,Consumer Discretionary
207,GD,Industrials
208,GE,Industrials
209,GGP,Real Estate
210,GIS,Consumer Staples
211,GM,Consumer Discretionary
212,GPC,Consumer Discretionary
213,GILD,Health Care
214,GPN,Information Technology
