id,0,degree,modularity_class,clustering,eigencentrality
JBHT,Industrials,65,10,0.9735576923076923,0.370209476240207
IDXX,Health Care,1,10,0.0,0.0013743907266648247
YUM,Consumer Discretionary,161,5,0.7357142857142858,0.7666537625289714
JWN,Consumer Discretionary,80,5,0.8224683544303798,0.39751469344449525
EOG,Energy,37,6,0.9099099099099099,0.17492686525117093
BWA,Consumer Discretionary,94,10,0.9089453214367421,0.5042729988781238
UAL,Industrials,4,10,0.5,7.141794505780401E-4
UAA,Consumer Discretionary,21,8,0.9,0.10730667890060341
AAPL,Information Technology,23,10,0.9841897233201581,0.13274169176358072
SPG,Real Estate,146,5,0.8153046764289088,0.729515683535769
GT,Consumer Discretionary,32,10,0.9858870967741935,0.18663113959764352
GIS,Consumer Staples,1,0,0.0,6.889979653727359E-5
MJN,Consumer Staples,3,5,1.0,0.017216998729400787
NWL,Consumer Discretionary,118,5,0.8690424453136317,0.6131195110580732
GE,Industrials,180,5,0.6905648665425201,0.8306130499318555
GD,Industrials,208,10,0.5829617242660721,0.8874394558503346
VAR,Health Care,42,10,0.8060394889663183,0.2089865764461942
BRK-B,Financials,20,13,0.9473684210526315,0.10252803305283892
MAS,Industrials,110,5,0.8185154295246039,0.553611000600231
MAR,Consumer Discretionary,233,10,0.5221992008287701,0.9449180077565634
MAT,Consumer Discretionary,5,10,0.9,0.026298438602284258
SNA,Consumer Discretionary,269,10,0.4317816123841758,1.0
FOXA,Consumer Discretionary,135,10,0.7962410171365395,0.6697872729159251
SNI,Consumer Discretionary,39,10,0.9298245614035088,0.21633443181404557
MAA,Real Estate,129,5,0.841327519379845,0.6534500536839448
MAC,Real Estate,112,5,0.9057271557271557,0.5930743755729054
JNJ,Health Care,13,7,0.8076923076923077,0.05775839928096088
TSO,Energy,1,6,0.0,0.0020282976156237274
BEN,Financials,225,13,0.5428571428571428,0.9293501742403575
CMI,Industrials,196,5,0.6433804290947148,0.8750740028781031
CMG,Consumer Discretionary,1,5,0.0,0.00322184281595268
ALB,Materials,240,10,0.501813110181311,0.9552015359357446
CME,Financials,15,13,0.9809523809523809,0.0842764107373205
DTE,Utilities,92,7,0.7312470138557096,0.4204518343721455
CMS,Utilities,35,7,0.8789915966386554,0.1195481212436893
TSS,Information Technology,60,7,0.9536723163841808,0.33540969730878456
VLO,Energy,56,6,0.9064935064935065,0.30055037236541016
HUM,Health Care,4,3,1.0,3.016490736347619E-4
TGNA,Consumer Discretionary,31,10,0.9096774193548387,0.17178276053990849
HCP,Real Estate,128,5,0.8625738188976378,0.6579060136347016
K,Consumer Staples,1,0,0.0,6.889979653727359E-5
FFIV,Information Technology,4,8,0.6666666666666666,0.007512745559791523
BLL,Materials,111,6,0.8530712530712531,0.5720721876304661
BLK,Financials,7,13,1.0,0.04223773237368111
FTI,Energy,89,6,0.891726251276813,0.468617204320905
HCN,Real Estate,96,5,0.9157894736842105,0.5089767169654216
SIG,Consumer Discretionary,9,10,1.0,0.04834627912287711
NFX,Energy,114,6,0.7762769756249029,0.5497812710593375
MA,Information Technology,1,1,0.0,6.889979653727359E-5
CBG,Real Estate,171,5,0.7413828689370485,0.8164363855818849
MO,Consumer Staples,7,13,0.9047619047619048,0.038700139262662234
NOC,Industrials,182,5,0.6697832554186145,0.8269480151894392
MU,Information Technology,14,8,0.8901098901098901,0.0467500455365435
CBS,Consumer Discretionary,180,5,0.695592799503414,0.834282180138616
NDAQ,Financials,149,5,0.7769816796662434,0.7280897595048366
MS,Financials,53,13,0.8156748911465893,0.2443429187879422
TJX,Consumer Discretionary,8,5,0.6785714285714286,0.01428646219398582
NOV,Energy,86,6,0.8259917920656634,0.4282970454354067
FE,Utilities,16,7,1.0,0.029778522901176347
FL,Consumer Discretionary,20,5,0.7263157894736842,0.08354586949965284
MSFT,Information Technology,37,8,0.9279279279279279,0.1983744504049828
GLW,Information Technology,68,8,0.9486391571553995,0.3769658948431871
SCHW,Financials,15,13,0.9904761904761905,0.08434733945264103
FCX,Materials,125,6,0.8135483870967742,0.6226872901094224
UPS,Industrials,126,10,0.7893333333333333,0.618777664544549
WHR,Consumer Discretionary,101,5,0.919009900990099,0.5409175144269622
BBBY,Consumer Discretionary,76,5,0.7726315789473684,0.3670156714587212
MDT,Health Care,4,10,0.8333333333333334,0.006086739338832524
F,Consumer Discretionary,41,13,0.925609756097561,0.2276943324741052
DFS,Financials,148,5,0.7759698473984188,0.7211753063848155
JEC,Industrials,152,6,0.7540083652840711,0.7317141812213606
V,Information Technology,1,1,0.0,6.889979653727359E-5
FMC,Materials,111,6,0.8999180999180999,0.5902291618883787
