,0,1
0,MMM,TIF
1,MMM,RL
2,TIF,VMC
3,MMM,MYL
4,TIF,ADBE
5,ADBE,HAS
6,MMM,BBBY
7,BBBY,ISRG
8,ISRG,AMP
9,ISRG,AMT
10,ISRG,MS
11,MS,BWA
12,BWA,AN
13,BWA,JNJ
14,MS,GGP
15,JNJ,UHS
16,UHS,AVY
17,AVY,FFIV
18,FFIV,RF
19,RF,ZION
20,AVY,PX
21,RF,SPLS
22,AVY,MUR
23,AN,NOC
24,ZION,CERN
25,RF,JNPR
26,NOC,BDX
27,RF,KMX
28,BWA,PRU
29,PRU,LKQ
30,LKQ,UAL
31,PRU,MDT
32,NOC,SNI
33,SNI,EA
34,FFIV,GS
35,PRU,TMO
36,PX,WM
37,PRU,PSX
38,FFIV,PYPL
39,SPLS,CHD
40,BDX,SBUX
41,JNJ,ALLE
42,ISRG,BK
43,BK,TJX
44,CHD,SYF
45,CHD,COST
46,ISRG,CHRW
47,ISRG,MCD
48,MCD,SWN
49,TMO,LLL
50,BBBY,BIIB
51,TMO,LNT
52,ISRG,LYB
53,BIIB,MCHP
54,MCHP,APC
55,MCHP,GOOGL
56,MCHP,CNC
57,CNC,TMK
58,TMK,BF-B
59,CNC,AEE
60,ISRG,PBCT
61,PBCT,CHK
62,CHK,AVGO
63,AVGO,FDX
64,FDX,DLPH
65,FDX,PBI
66,PBI,EMR
67,PBI,COL
68,EMR,INTU
69,PBI,DUK
70,FDX,PCLN
71,COL,IP
72,INTU,XYL
73,INTU,MU
74,AMT,RTN
75,RTN,IVZ
76,TMO,HRS
77,ISRG,TXN
78,TXN,APA
79,AMP,NTAP
80,ISRG,AIG
81,IP,SYK
82,APA,MAT
83,MAT,FOXA
84,FOXA,AET
85,FOXA,IR
86,AET,LOW
87,LOW,KEY
88,LOW,AXP
89,AET,STI
90,STI,ADM
91,STI,RRC
92,BIIB,FTI
93,AVGO,NRG
94,AVGO,HCP
95,HCP,GPC
96,GPC,SPG
97,GPC,HAR
98,HAR,CSCO
99,CSCO,MCO
100,MCO,NOV
101,MCO,DISCK
102,DISCK,ANTM
103,DISCK,CXO
104,CXO,ETFC
105,CXO,WLTW
106,NOV,ADI
107,CXO,PWR
108,CSCO,NFLX
109,HAR,NWS
110,HCP,RHI
111,WLTW,PDCO
112,PDCO,CAG
113,CAG,XRX
114,GPC,FLIR
115,FLIR,NBL
116,GPC,BAX
117,CXO,KIM
118,KIM,OKE
119,AMP,UTX
120,GOOGL,WFC
121,BBBY,AON
122,AON,QRVO
123,QRVO,PG
124,PG,HCA
125,INTU,GPS
126,PSX,COH
127,COH,UNH
128,COH,NSC
129,MMM,MRK
130,MRK,MLM
131,MLM,ES
132,MRK,WEC
133,TIF,BAC
134,BAC,BLL
135,BLL,SYY
136,PBI,ESS
137,ESS,GM
138,SYK,AAL
139,BAC,AZO
140,AMT,HRB
141,HRB,DHR
142,HRB,EQR
143,EQR,BEN
144,FOXA,LLY
145,INTU,UPS
146,UPS,EXPE
147,MRK,NVDA
148,AET,XEL
149,AON,D
150,GOOGL,LRCX
151,MCD,CSRA
152,CSRA,LEG
153,LEG,PNC
154,ISRG,JEC
155,JEC,FRT
156,MCD,DE
157,UHS,PSA
158,PSA,MON
159,MON,TDG
160,TDG,VTR
161,DE,DOW
162,DOW,AES
163,AES,URBN
164,URBN,MRO
165,AES,INTC
166,URBN,GRMN
167,INTC,CMCSA
168,BAC,MJN
169,MLM,HOG
170,HOG,L
171,TIF,VFC
172,VFC,CCI
173,CCI,LEN
174,MCD,APD
175,AES,MOS
176,MOS,FTR
177,FTR,FCX
178,JEC,PVH
179,MCHP,AFL
180,AFL,PAYX
181,AFL,XOM
182,BLL,BLK
183,FCX,EL
184,AVGO,M
185,M,DD
186,CNC,PXD
187,M,FIS
188,SWN,PCAR
189,SBUX,FOX
190,FOX,ADP
191,HRB,GIS
192,SYK,SLG
193,FTI,UNM
194,MCD,MAC
195,OKE,STX
196,MMM,CSX
197,ISRG,OXY
198,OXY,ORLY
199,MCO,CAT
200,AFL,WY
201,CHRW,TDC
202,BBBY,ORCL
203,ORCL,IBM
204,MLM,SRE
205,AES,CLX
206,XOM,EXR
207,AXP,NDAQ
208,DOW,MCK
209,MCK,KSU
210,MCK,FTV
211,FTV,JPM
212,FTV,PCG
213,PCG,KLAC
214,PCG,CNP
215,CNP,PNW
216,PCG,PPL
217,PPL,MHK
218,MHK,O
219,FTV,CTXS
220,FTV,MTD
221,MHK,XRAY
222,CNP,KMB
223,PPL,PGR
224,PGR,SLB
225,SLB,PFG
226,PFG,ALK
227,ALK,DFS
228,ALK,WYN
229,WYN,CVX
230,WYN,DIS
231,DIS,DOV
232,WYN,LMT
233,DIS,ECL
234,SLB,DLR
235,SLB,AKAM
236,ALK,PEP
237,DIS,SO
238,ECL,DPS
239,SLB,NFX
240,WYN,COP
241,DIS,PFE
242,ALK,ENDP
243,PFG,AJG
244,LMT,NEE
245,PFE,EOG
246,ALK,SWK
247,ALK,EXPD
248,ENDP,CB
249,CB,ALB
250,ALB,JWN
251,SLB,OMC
252,OMC,FE
253,FE,K
254,K,MAR
255,MAR,LUV
256,LUV,FL
257,LUV,BA
258,BA,VRSK
259,VRSK,SWKS
260,FE,PPG
261,FE,V
262,V,HAL
263,HAL,HBI
264,BA,AMAT
265,AMAT,ETN
266,AMAT,EW
267,AMAT,ADS
268,ADS,USB
269,ADS,MPC
270,FE,DRI
271,PPG,ABC
272,ABC,COG
273,DRI,EMN
274,MCD,LVLT
275,MHK,CTL
276,XOM,VZ
277,MPC,PEG
278,PEG,EQIX
279,AVGO,EXC
280,EXC,AIV
281,GRMN,RIG
282,IP,KORS
283,KORS,VRSN
284,PCG,BSX
285,CMCSA,RAI
286,AFL,AAP
287,BBBY,FBHS
288,BBBY,ICE
289,ICE,WRK
290,RTN,KMI
291,KMI,AMGN
292,PPG,IPG
293,AMT,HD
294,NDAQ,WBA
295,WBA,STT
296,AXP,DGX
297,INTU,YUM
298,ISRG,DHI
299,DHI,CVS
300,CVS,SNA
301,DHI,CA
302,DHI,FITB
303,FITB,FSLR
304,M,DAL
305,DAL,STZ
306,FTR,SCG
