id,0,modularity_class,degree,clustering,eigencentrality
AGN,Health Care,2,31,0.8,0.11003177208071838
EOG,Energy,1,61,0.928415300546448,0.168423193556845
CPB,Consumer Staples,2,6,1.0,0.018001813882484945
IDXX,Health Care,2,53,0.8403483309143687,0.21919920920570357
YUM,Consumer Discretionary,3,159,0.730196640394873,0.6351164758125091
JWN,Consumer Discretionary,3,67,0.7620985979194934,0.22028768357828687
JBHT,Industrials,3,111,0.8181818181818182,0.43322615035023043
BWA,Consumer Discretionary,3,121,0.8077134986225896,0.5002592851043666
UAL,Industrials,0,4,0.8333333333333334,0.0016105084828010022
UAA,Consumer Discretionary,3,1,0.0,0.004991080207009526
AAPL,Information Technology,1,21,0.7904761904761904,0.06739812429106044
SPG,Real Estate,3,206,0.6032678190859578,0.7298627057296108
FIS,Information Technology,3,122,0.7990787156211896,0.5165909255491705
GT,Consumer Discretionary,3,177,0.6816897791474062,0.6751212743973997
GIS,Consumer Staples,2,47,0.8519888991674376,0.13978290550764214
NWL,Consumer Discretionary,2,21,0.8857142857142857,0.10033840250253234
GE,Industrials,3,156,0.7410256410256411,0.6176873370269593
GD,Industrials,2,67,0.8584350972410674,0.27146327955474525
VAR,Health Care,2,38,0.8264580369843528,0.13070350010091572
AMZN,Consumer Discretionary,1,108,0.7665282104534441,0.43811735193073814
ALK,Industrials,0,5,0.5,0.0051201038801135515
MAS,Industrials,3,118,0.7811096624655947,0.45011136263953916
MAR,Consumer Discretionary,3,193,0.6099417098445595,0.6861487420393926
MAT,Consumer Discretionary,3,35,0.9630252100840336,0.1363332041017674
SNA,Consumer Discretionary,3,195,0.6050224689399947,0.720413592442699
FOXA,Consumer Discretionary,2,319,0.39350564854793874,0.9615156226768203
SNI,Consumer Discretionary,2,104,0.5967139656460044,0.36403958024924216
XRAY,Health Care,2,53,0.7801161103047896,0.213598186745027
MAC,Real Estate,3,106,0.8204851752021564,0.41294235079043146
JNJ,Health Care,2,171,0.53890608875129,0.5439148264308316
TSN,Consumer Staples,2,8,1.0,0.04095775382935588
TSO,Energy,1,67,0.8778833107191316,0.2535635915165053
BEN,Financials,3,272,0.46706099413935315,0.8813273609215205
CMI,Industrials,1,133,0.6508316245158351,0.46583566252947767
DISCA,Consumer Discretionary,1,3,0.6666666666666666,0.008693113560895648
CMG,Consumer Discretionary,3,1,0.0,0.002223483612036575
ALB,Materials,1,213,0.5262202143679688,0.7097451624809725
CME,Financials,3,91,0.8395604395604396,0.3628753355303074
DTE,Utilities,2,118,0.6717369259742141,0.38750125866441415
CMS,Utilities,2,177,0.5782614278376991,0.5919471330259861
TSS,Information Technology,3,237,0.5418007580633627,0.8311743362925862
VLO,Energy,1,162,0.6021010658691818,0.5564270230866517
HUM,Health Care,2,4,1.0,7.703089882922105E-4
PCLN,Consumer Discretionary,1,3,0.3333333333333333,0.0062856115579045645
TGNA,Consumer Discretionary,3,67,0.898236092265943,0.27788197634904405
FSLR,Information Technology,1,45,0.9353535353535354,0.14028350526323133
HCP,Real Estate,3,172,0.6911464708282333,0.649012632241515
FTR,Telecommunications Services,2,73,0.7926179604261796,0.3006701178484347
K,Consumer Staples,2,120,0.6624649859943977,0.43074725115868806
BLL,Materials,3,248,0.5125375473423012,0.8481726356817698
BLK,Financials,3,173,0.6855760182820272,0.6600430958357243
FTI,Energy,1,70,0.8997929606625259,0.21846199948885553
HCN,Real Estate,3,134,0.7783638199977556,0.5226491287162086
NFX,Energy,1,78,0.8171828171828172,0.22246664108179445
MA,Information Technology,3,81,0.8530864197530864,0.35161121597861245
CBG,Real Estate,3,93,0.8548387096774194,0.37509110774989596
MO,Consumer Staples,2,26,0.8923076923076924,0.10013829801892464
NOC,Industrials,2,45,0.9171717171717172,0.18241703042236673
MU,Information Technology,1,2,0.0,0.006707095294113886
CBS,Consumer Discretionary,2,102,0.7134536983110076,0.4020980941430065
NDAQ,Financials,3,146,0.7049598488427019,0.5531893138564404
MS,Financials,2,101,0.6740594059405941,0.3817498157515308
TJX,Consumer Discretionary,3,173,0.6855760182820272,0.6534807083113253
NOV,Energy,1,97,0.7472079037800687,0.2968120082527777
AMGN,Health Care,2,11,0.9454545454545454,0.034862263438320946
COST,Consumer Staples,3,75,0.9192792792792793,0.3203808491952929
FE,Utilities,2,101,0.7316831683168317,0.3233169541720688
CTL,Telecommunications Services,2,7,0.8095238095238095,0.023815841439605825
DOV,Industrials,3,231,0.5473367212497647,0.8080352647271039
MSFT,Information Technology,2,173,0.588587175695658,0.6107080601895283
GLW,Information Technology,1,33,0.9431818181818182,0.15100944779577666
SCHW,Financials,3,205,0.615638450502152,0.7450446583784613
BSX,Health Care,2,24,0.8731884057971014,0.09144629924656711
FCX,Materials,1,75,0.8327927927927928,0.22318734392027123
BDX,Health Care,2,43,0.8073089700996677,0.15063488645984377
WHR,Consumer Discretionary,3,35,0.9495798319327731,0.13277197493957643
BXP,Real Estate,3,210,0.5931191615402142,0.7411818827246518
MDT,Health Care,2,42,0.8745644599303136,0.13446245300053028
DFS,Financials,3,105,0.800915750915751,0.41775046615373507
JEC,Industrials,1,216,0.5056416881998277,0.7068584717108574
V,Information Technology,3,63,0.8627752176139273,0.27909505261317546
FMC,Materials,1,145,0.6407088122605364,0.49864294874194
TSCO,Consumer Discretionary,3,21,0.9952380952380953,0.0842814848039058
ALL,Financials,3,125,0.6892903225806452,0.4853993195659865
NTAP,Information Technology,1,57,0.8571428571428571,0.2386891065211625
LMT,Industrials,2,112,0.7886100386100386,0.4547518389191235
MMM,Industrials,2,219,0.5652884252859117,0.7786834770532957
SO,Utilities,2,83,0.7331766088745225,0.25087306446808666
JNPR,Information Technology,1,51,0.864313725490196,0.212150103521485
MMC,Financials,3,118,0.768361581920904,0.4766601840965906
WEC,Utilities,2,61,0.8573770491803279,0.1911116174697948
ADBE,Information Technology,1,220,0.5337069323370693,0.7576231607998518
IBM,Information Technology,1,267,0.487905156148799,0.8948216966559739
BAX,Health Care,2,100,0.6519191919191919,0.3144496038483422
CAT,Industrials,1,246,0.49444167911066866,0.8159315667078099
CAH,Health Care,2,55,0.8410774410774411,0.19403749358131098
BAC,Financials,3,150,0.6634451901565995,0.5402201044263466
GS,Financials,3,84,0.6924842226047045,0.30992806432332737
AFL,Financials,3,224,0.5254644458680333,0.7705508790094391
LB,Consumer Discretionary,3,162,0.6995629169542213,0.6081757202998415
LH,Health Care,2,40,0.8371794871794872,0.14196400339880366
PGR,Financials,3,164,0.6639233877001347,0.6351424089433195
HIG,Financials,3,6,1.0,0.009810184584673596
CELG,Health Care,2,10,0.6666666666666666,0.03538499259299735
A,Health Care,2,243,0.48569873822399073,0.7894563392688643
ABC,Health Care,2,26,0.9323076923076923,0.07794904732571428
ZION,Financials,3,23,0.9683794466403162,0.06400275395740729
STI,Financials,3,60,0.7728813559322034,0.1899258045723322
ANTM,Health Care,2,4,1.0,7.703089882922105E-4
ABT,Health Care,2,38,0.8264580369843528,0.10743738217708379
XOM,Energy,2,170,0.568673860076575,0.5344185007737
STX,Information Technology,1,1,0.0,0.001734797354066171
STZ,Consumer Staples,2,8,0.8571428571428571,0.037208213391024446
BHI,Energy,1,89,0.7814096016343207,0.2746756904655915
RSG,Industrials,2,25,0.9866666666666667,0.1233611641558356
PNW,Utilities,2,95,0.7245240761478163,0.3035451098047536
IVZ,Financials,3,275,0.4634107498341075,0.8897222347479414
PNC,Financials,3,87,0.7465918203688853,0.28842682454656077
GOOGL,Information Technology,1,23,0.7865612648221344,0.08765401145243053
VFC,Consumer Discretionary,3,130,0.784257602862254,0.5040844015077861
AON,Financials,3,9,0.8888888888888888,0.0387507649058823
RAI,Consumer Staples,2,1,0.0,6.699742195852601E-4
PRU,Financials,3,70,0.7159420289855073,0.2598532378154623
RF,Financials,3,22,0.974025974025974,0.06286414952127138
RL,Consumer Discretionary,3,189,0.6501182033096927,0.6954558834271952
AYI,Industrials,3,101,0.8273267326732673,0.43181197300823504
URBN,Consumer Discretionary,3,102,0.815569792273345,0.39297756640796966
CHK,Energy,1,49,0.9668367346938775,0.12165953905437726
L,Financials,2,239,0.4770577687141802,0.7699067302482667
HRS,Information Technology,1,76,0.8592982456140351,0.3251675518215139
MRO,Energy,1,141,0.6655521783181357,0.47560366333022475
MRK,Health Care,2,31,0.9483870967741935,0.12299391137815369
HRB,Financials,2,134,0.7399842890809112,0.5398362332820056
IPG,Consumer Discretionary,3,80,0.8370253164556962,0.3404420766722359
RHT,Information Technology,1,70,0.8372670807453416,0.3069316348257082
RHI,Industrials,3,156,0.7521091811414392,0.6306106648370502
APH,Information Technology,1,230,0.5267514714258591,0.7878524774212379
ROST,Consumer Discretionary,3,127,0.778652668416448,0.4871464655206098
APC,Energy,1,114,0.719608756404285,0.3700266173792154
APA,Energy,1,87,0.8136861801657311,0.26755529369030545
APD,Materials,1,222,0.5071949777832131,0.7303816461748831
KSU,Industrials,1,70,0.7747412008281573,0.2788932223721643
KSS,Consumer Discretionary,3,166,0.6808324205914568,0.6094936564749356
WFM,Consumer Staples,3,7,1.0,0.029686843363688743
WFC,Financials,3,119,0.7102976783933913,0.4103664610220697
IFF,Materials,3,134,0.7547974413646056,0.5538571172435913
NVDA,Information Technology,1,5,0.8,0.013840252179929714
MAA,Real Estate,3,155,0.7420192710515291,0.5981068680050311
RTN,Industrials,2,52,0.8868778280542986,0.20497648408019922
ADSK,Information Technology,1,47,0.9047178538390379,0.21263927030004512
BMY,Health Care,2,29,0.9359605911330049,0.1259945165705673
SYMC,Information Technology,1,42,0.826945412311266,0.17930897045740943
EL,Consumer Staples,3,68,0.9122036874451273,0.3009730831590953
PAYX,Information Technology,3,237,0.550811699921333,0.8347135436875157
OXY,Energy,1,129,0.6866521317829457,0.42605014363311383
SHW,Materials,3,61,0.9092896174863389,0.2594907783909356
ED,Utilities,2,91,0.7567765567765568,0.3084424607414495
DISCK,Consumer Discretionary,1,31,0.6172043010752688,0.10828081083881363
EA,Information Technology,1,7,0.9047619047619048,0.0304149960721716
ORLY,Consumer Discretionary,3,138,0.7470644239923834,0.5371438109789607
DLR,Real Estate,3,107,0.8007406101216716,0.3991055817253035
CSX,Industrials,3,114,0.7910262381617761,0.4819264138716103
EW,Health Care,2,12,0.9696969696969697,0.04281277101156731
EQIX,Real Estate,1,67,0.7127996381727725,0.25512319323758553
